"$State []","Freq [GHz]","DG []"
1,12.8,9.99996038993301
1,12.9,9.99996891985951
1,13,9.99997589806578
1,13.1,9.99998135150894
1,13.2,9.99998549850798
1,13.3,9.99998861105628
1,13.4,9.99999094036711
1,13.5,9.99999269021594
1,13.6,9.99999401534448
1,13.7,9.99999502935453
1,13.8,9.99999581435701
1,13.9,9.99999642942228
1,14,9.99999691712507
1,14.1,9.99999730833143
1,14.2,9.99999762560353
1,14.3,9.99999788559186
1,14.4,9.99999810071019
1,14.5,9.9999982803106
1,14.6,9.99999843151217
1,14.7,9.99999855978946
1,14.8,9.99999866939403
1,14.9,9.999998763659
1,15,9.9999988452212
1,15.1,9.99999891618464
1,15.2,9.99999897824198
1,15.3,9.9999990327656
1,15.4,9.99999908087642
1,15.5,9.99999912349645
1,15.6,9.99999916138907
1,15.7,9.9999991951904
1,15.8,9.99999922543364
1,15.9,9.99999925256831
1,16,9.99999927697544
1,16.1,9.99999929897966
1,16.2,9.99999931885893
1,16.3,9.99999933685236
1,16.4,9.99999935316657
1,16.5,9.9999993679809
1,16.6,9.99999938145159
1,16.7,9.99999939371537
1,16.8,9.99999940489231
1,16.9,9.99999941508821
1,17,9.99999942439669
1,17.1,9.99999943290082
1,17.2,9.99999944067455
1,17.3,9.99999944778395
1,17.4,9.9999994542882
1,17.5,9.99999946024047
1,17.6,9.99999946568865
1,17.7,9.99999947067602
1,17.8,9.99999947524177
1,17.9,9.99999947942148
1,18,9.99999948324753
1,18.1,9.99999948674947
1,18.2,9.9999994899543
1,18.3,9.99999949288676
1,18.4,9.99999949556956
1,18.5,9.99999949802357
1,18.6,9.99999950026804
1,18.7,9.99999950232072
1,18.8,9.99999950419801
1,18.9,9.99999950591511
1,19,9.99999950748611
1,19.1,9.99999950892405
1,19.2,9.9999995102411
1,19.3,9.99999951144854
1,19.4,9.9999995125569
1,19.5,9.99999951357598
1,19.6,9.99999951451492
1,19.7,9.99999951538226
1,19.8,9.99999951618595
1,19.9,9.99999951693345
1,20,9.99999951763172
