"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
0,14.9,-32.5792533706797,-42.7477756985838,-32.4778366402211,-34.8656789883966,-38.791864345751,-27.8096013544276,-23.8237486293074
0,15,-33.2652380214461,-42.3206598403511,-32.1409539111766,-34.749544785609,-38.3200274142394,-27.5986397453218,-23.7173719582347
0,15.1,-33.9931217882439,-41.8891854245524,-31.822597739668,-34.6352504928599,-37.8758696481096,-27.3889755923487,-23.6062426359605
0,15.2,-34.7700365198392,-41.4622834603477,-31.5210736187025,-34.5226911792142,-37.4564081777303,-27.180899551824,-23.4912234353296
0,15.3,-35.6048480522577,-41.0454704181227,-31.2349057302318,-34.4117829007125,-37.0591417627239,-26.9746567852086,-23.3730938715743
0,15.4,-36.5088309902831,-40.6419302561448,-30.962803307124,-34.3024578752933,-36.6819510429639,-26.7704538667208,-23.2525536781683
0,15.5,-37.4966898500099,-40.2533031131334,-30.7036329235704,-34.194660559709,-36.3230231132085,-26.5684645744637,-23.1302270840997
0,15.6,-38.5881688628868,-39.8802334753089,-30.4563954660702,-34.0883445017443,-35.980793719908,-26.3688347558662,-23.0066676369504
0,15.7,-39.8107160310304,-39.5227403471062,-30.2202068599358,-33.9834698477079,-35.6539024180379,-26.1716864239518,-22.8823633475466
0,15.8,-41.204161723528,-39.1804625836519,-29.9942818497889,-33.8800013957629,-35.3411573899097,-25.977121212968,-22.7577419686162
0,15.9,-42.8295769512241,-38.8528192651216,-29.7779202907668,-33.7779070980743,-35.0415075572912,-25.7852232991676,-22.6331762571947
0,16,-44.7877943263086,-38.5391132545368,-29.5704955218451,-33.677156927604,-34.7540202620345,-25.59606187404,-22.5089891055328
0,16.1,-47.2638774268189,-38.2385971554051,-29.3714444777478,-33.5777220378026,-34.4778632432903,-25.4096932422308,-22.3854584563476
0,16.2,-50.6588721574966,-37.9505145560392,-29.1802592604553,-33.4795741549135,-34.2122899624145,-25.226162604095,-22.2628219446988
0,16.3,-56.1579192788238,-37.6741251183266,-28.9964799412951,-33.3826851528812,-33.9566275600195,-25.0455055727544,-22.1412812304808
0,16.4,-73.6263350007657,-37.4087191649328,-28.8196884040114,-33.2870267698356,-33.7102669002021,-24.8677494672622,-22.0210060027663
0,16.5,-59.0576079846774,-37.153625490806,-28.6495030707702,-33.192570432839,-33.4726542830275,-24.6929144166568,-21.9021376505145
0,16.6,-52.3554420164935,-36.9082148506149,-28.4855743786607,-33.099287164104,-33.2432845004474,-24.5210143040568,-21.7847926040246
0,16.7,-48.6773098737782,-36.6719007329828,-28.3275808952365,-33.0071475473412,-33.0216949817414,-24.3520575752783,-21.6690653585753
0,16.8,-46.1452873731846,-36.4441384775263,-28.1752259789793,-32.916121737397,-32.8074608284767,-24.1860479325769,-21.555031196463
0,16.9,-44.2218194851581,-36.2244234242027,-28.0282349049975,-32.8261795000252,-32.6001905803113,-24.0229849308807,-21.4427486266502
0,17,-42.6765298660248,-36.0122885421277,-27.8863523883285,-32.7372902716259,-32.3995225848889,-23.8628644911833,-21.3322615628471
0,17.1,-41.3892081461292,-35.8073018246967,-27.7493404473453,-32.6494232311903,-32.2051218699252,-23.7056793435017,-21.2236012614501
0,17.2,-40.2891101471943,-35.6090636318173,-27.6169765583011,-32.5625473786098,-32.0166774350542,-23.5514194099047,-21.1167880406047
0,17.3,-39.331041222216,-35.417204090092,-27.4890520592532,-32.476631615028,-31.8338998963689,-23.4000721365232,-21.0118328009887
0,17.4,-38.4843447892183,-35.2313806158012,-27.3653707677142,-32.3916448221103,-31.6565194287801,-23.2516227821033,-20.9087383678926
0,17.5,-37.7272485732184,-35.0512755955343,-27.2457477815617,-32.3075559380364,-31.4842839610609,-23.106054669529,-20.8075006729356
0,17.6,-37.0437164407657,-34.8765942399746,-27.1300084371393,-32.22433402874,-31.3169575862586,-22.9633494057738,-20.708109792406
0,17.7,-36.4215816066618,-34.7070626140951,-27.0179874022379,-32.1419483534693,-31.1543191564764,-22.823487074929,-20.6105508578196
0,17.8,-35.8513825934563,-34.5424258395053,-26.909527884842,-32.0603684241536,-30.9961610361489,-22.6864464082565,-20.5148048529046
0,17.9,-35.3256069226288,-34.3824464602812,-26.8044809412602,-31.9795640583733,-30.8422879921194,-22.5522049346274,-20.42084930988
0,18,-34.8381825844493,-34.2269029612608,-26.7027048695951,-31.8995054259502,-30.692516202252,-22.4207391142017,-20.3286589166212
0,18.1,-34.3841260354194,-34.0755884267568,-26.6040646765095,-31.8201630893376,-30.5466723671351,-22.2920244577769,-20.2382060451153
