"$State []","Freq [GHz]","ECC []"
1,15.7,6.62100907506688E-05
1,15.8,6.29125378731175E-05
1,15.9,6.03824191612179E-05
1,16,5.84250562784211E-05
1,16.1,5.68926249735854E-05
1,16.2,5.56733037952239E-05
1,16.3,5.46828943037777E-05
1,16.4,5.38583605253695E-05
1,16.5,5.31528532716768E-05
1,16.6,5.25318804912895E-05
1,16.7,5.19703608312819E-05
1,16.8,5.14503573186632E-05
1,16.9,5.09593346129371E-05
1,17,5.04888193374762E-05
1,17.1,5.00333708227127E-05
1,17.2,4.9589791012811E-05
1,17.3,4.91565187486321E-05
1,17.4,4.8733166280015E-05
1,17.5,4.83201655634046E-05
1,17.6,4.79184993497648E-05
1,17.7,4.75294977883726E-05
1,17.8,4.71546856682774E-05
1,17.9,4.67956688003489E-05
1,18,4.6454050645851E-05
1,18.1,4.61313723036898E-05
1,18.2,4.5829070516552E-05
1,18.3,4.55484495522833E-05
1,18.4,4.52906637423194E-05
1,18.5,4.50567081759974E-05
1,18.6,4.48474156059322E-05
1,18.7,4.46634580519476E-05
1,18.8,4.45053519274408E-05
1,18.9,4.43734657741959E-05
1,19,4.42680298962041E-05
1,19.1,4.41891473428603E-05
1,19.2,4.4136805816889E-05
1,19.3,4.41108901802353E-05
1,19.4,4.41111953078266E-05
1,19.5,4.41374390992405E-05
1,19.6,4.41892755054471E-05
1,19.7,4.42663074647628E-05
1,19.8,4.43680996711053E-05
1,19.9,4.44941911203117E-05
1,20,4.46441073979667E-05
