"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
1,17.8,-16.2398628279423,-14.777505161864,-14.8036377798838,-9.56449733144185,-13.584643107961,-12.879979652699,-16.0061269321873,-15.1387912610215
1,17.9,-16.187401270676,-14.752431796959,-14.7439188609272,-9.51404459784726,-13.5705638229515,-12.8244666474924,-15.988015632183,-15.11012106043
1,18,-16.1332546824191,-14.72585699244,-14.6827609419838,-9.46357380264771,-13.5548446608115,-12.768071750146,-15.9669849236088,-15.0793714679367
1,18.1,-16.0775399269458,-14.6978455596918,-14.6203294535512,-9.41311031172866,-13.5375488060606,-12.710876559866,-15.9431637138339,-15.0466504704255
1,18.2,-16.0203700142836,-14.6684607655552,-14.5567780821256,-9.36267817179853,-13.5187381462966,-12.6529584142769,-15.9166797048713,-15.0120635876009
1,18.3,-15.9618539698958,-14.6377643340977,-14.4922493407916,-9.31230015053426,-13.4984732689337,-12.594390556345,-15.8876589921294,-14.9757137111637
1,18.4,-15.9020967411871,-14.6058164469229,-14.4268751486201,-9.26199777767257,-13.4768134567891,-12.53524229945,-15.8562257022596,-14.9377009678544
1,18.5,-15.841199137879,-14.572675742894,-14.3607774111338,-9.21179138672842,-13.453816683114,-12.4755791900778,-15.822501670168,-14.8981226056045
1,18.6,-15.7792578028492,-14.5383993179924,-14.2940685954461,-9.16170015705937,-13.4295396065795,-12.4154631676706,-15.7866061547227,-14.8570729018144
1,18.7,-15.7163652101266,-14.5030427258889,-14.2268522948808,-9.11174215602868,-13.4040375666475,-12.3549527212298,-15.7486555922313,-14.8146430925985
1,18.8,-15.6526096868568,-14.4666599796897,-14.1592237789528,-9.06193438105141,-13.3773645796838,-12.2941030423279,-15.7087633863709,-14.7709213217088
1,18.9,-15.5880754562133,-14.4293035552054,-14.091270525518,-9.01229280133549,-13.3495733361067,-12.2329661742393,-15.6670397329359,-14.7259926077591
1,19,-15.522842698406,-14.3910243960049,-14.023072732711,-8.96283239915611,-13.3207151988027,-12.1715911569521,-15.62359147752,-14.6799388283119
1,19.1,-15.4569876271276,-14.3518719204329,-13.9547038089763,-8.91356721052439,-13.2908402029897,-12.1100241678715,-15.5785220040618,-14.6328387193696
1,19.2,-15.3905825789798,-14.3118940307019,-13.8862308400793,-8.86451036513282,-13.2599970576607,-12.0483086580703,-15.5319311520556,-14.5847678888055
