"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
0,13.2,-13.4336999880807,-12.2102862878253,-13.4355654659119,-12.7648315386472,-8.19142345329757,-9.37276075217199,-10.3475607354207,-9.69767269824401
0,13.3,-13.5831501362911,-12.5114231221935,-13.7745899175474,-13.1596926948369,-8.41905229652819,-9.57873612161326,-10.5987283408082,-9.82325033901809
0,13.4,-13.7297047690595,-12.8224552111163,-14.0956265038103,-13.5765099722712,-8.64277292495875,-9.77713897917678,-10.8430807989278,-9.93573052803345
0,13.5,-13.8721886982588,-13.1400175102597,-14.3980871391679,-14.0152121645381,-8.86196014772325,-9.96839867512646,-11.0812565971405,-10.037432602263
0,13.6,-14.0096211325129,-13.4617502181383,-14.6821517516836,-14.4759000163797,-9.07619006221229,-10.1529505626426,-11.3139611509693,-10.130460119022
0,13.7,-14.1412176339287,-13.7860518299214,-14.9484616640228,-14.9588475930921,-9.28518665922936,-10.3312178506036,-11.541912139809,-10.2166558850595
0,13.8,-14.2663790229333,-14.1118764474788,-15.1979166652349,-15.4645106400604,-9.48878528014137,-10.5036032567892,-11.7658080668589,-10.2975846432801
0,13.9,-14.3846747678919,-14.4385803620698,-15.4315431155656,-15.9935392881703,-9.6869065312454,-10.6704857381793,-11.986310742872,-10.37453813007
0,14,-14.4958242797951,-14.7658102251614,-15.6504098650772,-16.5467930587404,-9.87953693076449,-10.8322198410676,-12.2040363761255,-10.4485557239641
0,14.1,-14.599677763264,-15.0934229811667,-15.8555760394257,-17.1253562884009,-10.0667140949916,-10.9891363687925,-12.4195520797384,-10.5204541409585
0,14.2,-14.6961974880694,-15.4214290047651,-16.048059898934,-17.7305516957628,-10.2485151356545,-11.1415436703915,-12.6333757990114,-10.5908608308499
0,14.3,-14.7854399752423,-15.7499518579019,-16.2288215103674,-18.3639486324163,-10.4250474313244,-11.28972917761,-12.8459783628585,-10.660247248072
0,14.4,-14.8675393999444,-16.0791998662119,-16.3987543632624,-19.0273601826965,-10.5964412184395,-11.4339609937178,-13.0577867975896,-10.7289595995075
0,14.5,-14.9426923981849,-16.4094461038395,-16.5586826760063,-19.7228189208904,-10.7628436151052,-11.5744894339571,-13.2691883227055,-10.7972458166819
0,14.6,-15.0111443838497,-16.7410143906192,-16.7093622239931,-20.4525133980824,-10.9244137942727,-11.7115484702475,-13.4805346377192,-10.8652783150802
0,14.7,-15.0731774195237,-17.0742696254886,-16.8514832547844,-21.2186538436408,-11.0813190900286,-11.8453570614854,-13.6921462399374,-10.933172624027
0,14.8,-15.1290996331876,-17.4096112838543,-16.9856745487659,-22.0232119036741,-11.2337318667644,-11.976120366051,-13.9043166051385,-11.0010022627835
0,14.9,-15.1792361312341,-17.7474692577148,-17.1125080158535,-22.8674386711948,-11.3818270143128,-12.1040308409299,-14.1173161281304,-11.0688103708601
0,15,-15.223921325867,-18.0883014621496,-17.2325034415965,-23.7509981305348,-11.5257799573756,-12.2292692354831,-14.3313957660013,-11.1366186308202
0,15.1,-15.2634925714574,-18.4325928031056,-17.3461331447781,-24.670450684923,-11.6657650873801,-12.3520054892556,-14.5467903587809,-11.2044339932671
0,15.2,-15.2982849892041,-18.7808552218481,-17.4538264072178,-25.6166945976044,-11.8019545408525,-12.4723995433519,-14.7637216239217,-11.272253655856
0,15.3,-15.3286273515275,-19.1336286163988,-17.5559736011492,-26.5709162998475,-11.9345172614344,-12.5906020744425,-14.9824008352461,-11.340068679788
0,15.4,-15.3548388958443,-19.4914825000774,-17.6529299812921,-27.4989529983265,-12.0636182934447,-12.7067551597156,-15.2030312057796,-11.4078665592541
0,15.5,-15.3772269404574,-19.855018298671,-17.7450191350903,-28.3455474467833,-12.1894182638254,-12.8209928802572,-15.4258099987448,-11.4756329973781
